area,rooms,age,dist_km,floors,rent
6.65,1.0,0.57,8.81,1.0,38.22
6.49,3.0,3.83,6.56,1.0,47.35
8.35,4.0,2.41,1.67,1.0,72.57
8.86,4.0,4.33,2.04,2.0,71.94
7.93,1.0,0.11,5.79,2.0,57.2
6.34,3.0,5.23,8.52,1.0,36.58
6.49,2.0,0.4,8.22,3.0,48.34
6.59,5.0,1.23,4.65,1.0,60.5
5.48,3.0,1.68,5.36,3.0,45.54
5.4,3.0,3.79,2.93,1.0,45.5
6.81,5.0,1.2,2.64,2.0,63.83
5.98,3.0,4.66,2.41,1.0,48.91
5.1,1.0,2.77,3.59,3.0,39.96
7.69,2.0,0.29,7.44,3.0,51.24
6.38,5.0,6.89,8.9,2.0,40.9
5.82,4.0,7.24,1.49,2.0,49.11
5.57,5.0,1.46,4.0,1.0,52.9
9.38,4.0,5.38,7.42,1.0,60.68
5.9,5.0,4.32,5.68,1.0,47.72
5.73,3.0,2.75,4.04,3.0,50.85
8.13,4.0,6.03,4.72,1.0,55.67
7.78,3.0,7.4,4.16,2.0,54.18
5.49,3.0,0.56,1.94,1.0,49.05
9.09,3.0,5.31,7.72,2.0,60.18
7.81,4.0,2.01,5.3,1.0,64.32
9.08,1.0,4.14,7.04,2.0,58.14
5.76,3.0,1.13,5.0,2.0,49.95
5.25,3.0,6.96,1.02,1.0,47.76
8.05,2.0,4.68,5.37,1.0,52.13
8.89,5.0,0.27,2.1,2.0,77.02
5.67,5.0,7.49,4.56,2.0,48.9
8.99,5.0,3.98,6.24,2.0,68.15
8.3,5.0,5.25,8.58,3.0,58.26
7.55,4.0,4.47,7.43,3.0,56.28
6.55,3.0,3.01,2.35,2.0,57.37
7.43,4.0,5.22,5.61,3.0,54.67
6.33,4.0,5.02,1.38,2.0,58.16
8.96,4.0,3.69,8.91,2.0,63.48
5.77,5.0,3.57,1.96,2.0,56.06
5.33,2.0,5.52,5.45,1.0,32.66
8.26,1.0,4.76,8.05,3.0,51.22
6.18,4.0,5.78,7.54,3.0,42.33
6.24,4.0,5.21,8.3,2.0,48.5
8.17,2.0,5.58,5.35,3.0,56.96
7.65,3.0,2.92,3.94,3.0,64.02
8.76,5.0,6.39,1.69,1.0,70.6
7.35,5.0,4.53,5.24,2.0,61.97
9.19,2.0,1.38,2.72,1.0,74.11
5.3,4.0,7.4,6.77,1.0,35.95
8.4,2.0,5.22,4.0,1.0,56.75
6.39,2.0,6.48,8.22,2.0,39.38
5.64,1.0,2.8,4.83,1.0,36.53
8.86,5.0,2.61,6.71,2.0,62.01
8.47,2.0,3.79,1.26,3.0,67.18
6.57,5.0,0.87,7.12,3.0,58.07
8.99,2.0,4.96,5.02,2.0,55.91
8.86,2.0,3.3,3.9,2.0,62.23
9.31,3.0,1.39,6.33,2.0,67.91
9.47,1.0,6.08,8.07,1.0,48.01
7.98,1.0,2.0,7.84,2.0,46.47
6.35,4.0,3.74,3.31,2.0,53.86
6.09,2.0,1.95,2.14,1.0,56.2
5.3,5.0,3.54,5.7,2.0,44.62
9.08,3.0,0.27,1.86,3.0,79.1
8.42,1.0,3.68,3.88,2.0,54.8
5.15,4.0,0.86,8.78,1.0,44.12
7.9,2.0,7.88,8.29,2.0,41.81
7.14,5.0,5.37,8.79,1.0,47.56
6.19,4.0,3.69,2.48,2.0,55.18
7.82,4.0,2.24,1.34,3.0,73.73
6.65,2.0,1.73,6.54,1.0,44.44
5.82,3.0,5.03,4.21,3.0,47.38
7.34,4.0,4.59,2.04,2.0,65.66
5.15,4.0,2.3,3.28,3.0,54.04
8.64,4.0,3.47,6.3,1.0,63.87
5.23,5.0,4.75,3.41,1.0,47.12
9.47,2.0,5.8,8.41,1.0,52.24
7.7,4.0,7.72,2.22,2.0,58.32
5.51,5.0,4.33,7.27,1.0,41.04
5.62,5.0,4.44,1.22,2.0,59.62
5.69,3.0,1.72,4.19,3.0,52.46
5.39,3.0,5.15,5.45,1.0,37.25
5.7,2.0,1.53,6.57,3.0,43.76
5.41,5.0,0.61,7.27,3.0,49.46
9.12,4.0,7.78,6.84,2.0,60.11
7.54,5.0,4.82,2.72,3.0,60.6
7.52,5.0,5.61,7.75,3.0,57.69
8.12,2.0,6.14,4.22,1.0,52.36
7.35,3.0,4.93,2.67,1.0,59.22
8.22,1.0,3.14,6.19,2.0,55.45
7.47,5.0,2.15,5.46,2.0,64.42
8.76,5.0,6.44,3.56,2.0,68.77
6.01,5.0,5.68,5.77,2.0,52.84
9.42,3.0,4.89,3.7,3.0,73.21
7.96,5.0,3.33,1.69,3.0,75.55
5.44,2.0,5.3,4.54,1.0,40.46
9.22,3.0,3.52,1.25,1.0,66.78
5.87,4.0,4.69,8.72,1.0,40.28
6.89,5.0,2.25,6.17,2.0,60.99
8.78,3.0,1.29,3.52,1.0,70.9
6.46,2.0,4.71,8.58,3.0,41.54
7.32,1.0,0.85,4.8,1.0,50.08
8.98,4.0,5.9,5.89,1.0,62.42
5.19,3.0,4.69,7.17,2.0,39.16
5.4,5.0,2.97,1.58,3.0,63.08
6.9,1.0,1.98,6.49,2.0,47.86
8.22,5.0,7.85,7.24,2.0,54.12
6.98,3.0,0.46,6.51,3.0,61.28
8.74,4.0,7.69,8.11,2.0,53.27
6.22,4.0,1.35,8.16,1.0,45.65
5.56,5.0,3.53,6.64,3.0,47.27
8.41,4.0,4.03,6.8,1.0,58.21
7.82,2.0,7.75,7.0,1.0,43.73
8.67,4.0,2.31,4.94,2.0,71.05
6.29,2.0,2.84,2.62,3.0,56.19
8.9,4.0,5.65,8.37,2.0,58.79
8.79,2.0,4.56,1.92,1.0,67.3
7.98,3.0,3.1,3.64,2.0,62.77
5.53,3.0,3.91,2.22,2.0,47.08
6.33,5.0,5.49,3.26,3.0,54.97
7.71,2.0,4.84,4.68,3.0,53.5
9.24,1.0,1.82,7.88,1.0,56.71
7.55,5.0,3.36,5.28,3.0,60.17
8.89,2.0,5.9,2.5,3.0,63.01
5.26,3.0,0.25,5.86,2.0,47.33
5.15,2.0,3.9,4.65,2.0,40.61
7.11,1.0,6.2,1.3,2.0,49.66
5.05,1.0,6.04,6.34,1.0,30.85
6.84,5.0,7.07,8.75,1.0,49.58
6.92,1.0,2.8,5.44,2.0,45.51
6.28,5.0,1.0,8.45,3.0,56.88
5.5,5.0,0.04,7.14,3.0,52.52
7.73,4.0,6.17,4.65,3.0,64.71
5.68,2.0,3.19,4.32,2.0,44.62
5.35,3.0,2.28,3.81,3.0,48.94
7.64,2.0,1.04,2.45,3.0,66.05
6.63,1.0,6.95,8.2,3.0,34.5
7.91,3.0,5.87,7.83,1.0,44.15
8.28,2.0,3.37,5.88,1.0,61.22
6.98,3.0,3.71,7.94,3.0,48.36
8.05,3.0,6.04,3.92,1.0,56.37
6.93,1.0,6.98,1.45,3.0,50.13
6.51,2.0,3.95,6.11,2.0,44.29
7.26,4.0,4.51,4.91,2.0,58.01
5.56,3.0,6.87,7.68,3.0,35.97
6.18,4.0,7.84,2.58,2.0,50.31
8.06,1.0,0.1,7.54,3.0,56.86
8.1,2.0,3.92,4.58,2.0,53.97
9.48,5.0,2.27,2.25,3.0,85.94
6.26,3.0,0.0,4.21,2.0,53.6
5.63,3.0,4.52,2.64,3.0,53.2
7.52,3.0,1.56,6.58,2.0,51.97
7.76,1.0,2.15,8.43,1.0,43.57
5.6,2.0,6.49,8.46,3.0,29.55
5.11,4.0,1.39,1.9,2.0,55.22
7.4,4.0,3.92,7.72,1.0,52.84
7.36,1.0,2.78,3.64,2.0,51.82
7.25,2.0,3.41,7.5,1.0,40.63
6.37,2.0,6.75,7.93,1.0,32.68
6.39,3.0,2.51,5.14,2.0,53.26
8.09,5.0,7.13,6.56,1.0,60.33
8.77,5.0,7.04,5.53,1.0,61.98
6.64,4.0,5.0,6.07,3.0,52.7
7.85,3.0,4.11,7.77,2.0,53.29
7.53,1.0,2.37,5.69,1.0,46.09
9.2,2.0,3.37,3.35,2.0,63.32
8.27,1.0,0.19,4.85,2.0,55.74
7.18,5.0,2.82,3.36,2.0,64.68
8.75,1.0,7.62,6.86,2.0,44.97
7.17,4.0,5.03,3.27,3.0,61.58
9.27,3.0,0.57,5.3,3.0,74.23
6.22,3.0,3.41,2.96,3.0,48.66
5.31,1.0,7.58,4.03,3.0,32.85
8.12,4.0,7.24,2.14,1.0,63.91
7.7,1.0,6.97,5.56,2.0,43.35
7.96,1.0,4.66,4.62,1.0,48.92
8.21,3.0,2.69,4.62,2.0,58.24
9.18,3.0,6.22,2.6,2.0,70.34
7.65,1.0,2.02,2.63,3.0,56.88
5.31,5.0,2.5,2.99,1.0,50.27
8.7,1.0,2.09,4.64,1.0,61.52
6.04,3.0,5.56,3.95,3.0,49.2
6.58,5.0,3.37,1.09,2.0,64.14
5.66,1.0,7.85,4.04,3.0,33.53
8.37,5.0,3.11,4.24,1.0,63.82
6.26,1.0,7.38,3.54,3.0,39.63
6.32,1.0,2.86,7.11,1.0,35.54
7.54,1.0,1.9,6.75,1.0,54.45
5.93,5.0,3.65,1.41,1.0,54.78
5.98,2.0,4.72,3.12,2.0,46.25
5.32,2.0,7.23,7.52,3.0,32.0
7.95,5.0,7.85,1.03,1.0,64.78
6.45,3.0,0.72,8.48,1.0,48.78
6.19,2.0,0.86,6.95,3.0,44.76
5.56,4.0,4.75,1.41,2.0,45.03
9.49,2.0,4.74,1.33,3.0,77.88
6.85,4.0,6.05,5.11,2.0,49.96
6.0,2.0,6.86,7.17,3.0,32.59
9.43,1.0,7.72,2.12,2.0,63.78
8.22,4.0,6.97,7.23,2.0,55.08
5.48,5.0,0.11,2.24,3.0,63.23
6.88,1.0,6.1,3.98,3.0,48.47
9.26,5.0,2.67,8.7,2.0,66.15
7.83,3.0,2.6,2.52,1.0,61.11
8.23,1.0,1.64,6.82,1.0,52.46
7.44,4.0,6.34,1.74,3.0,65.94
7.55,1.0,4.76,4.13,3.0,51.29
6.26,4.0,6.42,4.37,1.0,46.91
8.26,5.0,4.75,4.36,1.0,67.68
6.59,5.0,4.88,8.67,1.0,43.29
8.11,2.0,7.25,1.11,3.0,63.0
