machine_type,runtime_hours,temperature,vibration,pressure,needs_service
lathe,2551.1,86.09,,2.91,1
lathe,1195.8,78.51,2.39,3.66,0
mill,1809.0,68.81,1.6,3.6,0
lathe,2442.9,82.56,3.92,3.17,1
lathe,2189.9,,4.6,3.08,1
mill,1452.1,92.91,4.72,2.93,1
lathe,599.5,66.75,1.29,3.75,0
mill,1214.9,65.12,0.94,3.54,0
lathe,3943.1,61.87,1.54,4.93,0
mill,3693.1,62.66,1.94,4.23,0
mill,172.8,,2.12,3.42,0
press,1665.7,64.05,1.49,3.81,0
lathe,2988.8,63.7,2.15,4.07,0
lathe,3433.8,56.17,1.28,,0
mill,820.7,62.21,3.06,3.69,0
drill,3376.9,,2.16,4.38,0
lathe,2250.8,78.83,2.46,1.29,1
lathe,188.4,71.17,1.3,3.7,0
mill,1918.7,65.34,,3.16,0
mill,3185.8,90.61,4.06,3.18,1
lathe,2140.1,64.89,1.14,5.08,0
mill,3708.8,60.86,1.53,4.41,0
lathe,3099.9,62.05,1.06,4.25,0
drill,1752.7,66.8,1.83,3.28,0
mill,3832.2,64.91,2.06,4.1,0
drill,3644.8,65.65,2.16,2.88,0
mill,3089.8,55.42,1.8,4.35,0
lathe,3771.5,66.9,2.28,2.52,0
mill,2850.8,69.28,1.56,4.65,0
mill,3415.1,71.1,1.82,3.93,0
lathe,1416.6,74.14,1.31,3.98,0
mill,848.0,62.98,2.14,4.8,0
lathe,3573.5,60.76,1.31,4.11,0
mill,2472.4,66.87,1.7,4.69,0
lathe,145.6,62.42,2.04,4.12,0
press,3563.6,101.07,2.97,3.46,1
mill,2748.6,73.14,1.77,5.06,0
drill,788.8,62.71,1.39,3.29,0
mill,3833.9,60.4,1.45,,0
mill,3238.1,64.11,1.44,3.17,0
drill,3700.3,68.16,1.62,3.5,0
lathe,1378.4,,2.69,3.73,0
lathe,2260.6,,4.22,2.44,1
lathe,2338.6,64.11,2.24,3.54,0
mill,3906.8,51.49,2.12,3.7,0
lathe,2664.4,74.92,2.19,4.0,0
lathe,694.0,61.04,2.04,3.42,0
mill,3070.3,60.52,,4.87,0
lathe,3151.3,93.6,,2.64,1
mill,742.7,95.87,4.68,2.2,1
mill,2993.9,66.86,1.78,3.89,0
press,1203.4,66.34,1.23,3.95,0
drill,1539.5,89.2,4.84,2.79,1
mill,1994.8,64.81,1.24,4.96,0
lathe,1115.9,70.79,1.25,4.19,0
lathe,3200.4,69.22,,,0
mill,1555.0,63.81,2.2,4.38,0
drill,1187.6,60.69,2.66,4.11,0
drill,838.2,69.47,2.0,3.45,0
press,3100.6,71.99,1.98,3.7,0
drill,399.1,89.06,4.7,2.38,1
drill,3537.2,,1.81,3.84,0
drill,3073.9,,3.27,2.63,1
drill,3783.9,67.33,1.39,3.91,0
drill,1523.0,71.66,2.35,4.19,0
lathe,3730.7,69.67,2.25,5.27,0
lathe,3852.2,65.47,2.41,4.58,0
lathe,1399.3,88.8,4.98,,1
press,61.0,61.71,1.24,4.24,0
lathe,1560.0,67.66,1.32,4.1,0
lathe,3105.5,71.58,2.08,4.39,0
lathe,899.9,81.94,3.99,2.55,1
lathe,978.8,66.05,1.86,4.29,0
lathe,3235.8,60.16,0.44,3.94,0
lathe,1702.0,71.09,1.98,4.63,0
drill,3344.8,,4.17,2.61,1
lathe,1029.5,48.75,2.2,5.22,0
mill,2922.1,60.97,2.46,3.62,0
drill,1506.4,82.3,,1.96,1
lathe,313.9,,1.15,3.26,0
drill,92.7,57.26,1.25,4.17,0
mill,205.3,63.27,2.56,4.4,0
mill,2551.8,65.19,2.05,4.47,0
lathe,352.7,63.04,2.35,4.6,0
mill,159.7,60.44,,4.18,0
drill,3573.8,62.82,1.6,4.36,0
press,1024.1,68.84,1.74,4.53,0
mill,1319.2,60.36,1.87,3.55,0
press,1904.2,83.79,5.29,1.71,1
mill,2735.1,61.32,2.15,4.56,0
mill,2728.8,,3.89,3.15,1
lathe,2856.8,65.82,1.62,3.6,0
lathe,3361.4,68.24,2.17,4.39,0
lathe,1006.4,,2.28,,0
drill,3051.6,100.42,3.17,2.84,1
press,819.3,,2.12,5.02,0
drill,3972.9,65.93,1.29,4.46,0
drill,3427.1,59.7,,3.75,0
mill,2464.7,69.02,1.36,4.79,0
lathe,3050.4,63.74,1.73,4.44,0
lathe,339.9,81.82,5.06,,1
mill,863.8,63.43,1.72,3.33,0
drill,1829.7,67.8,2.39,3.6,0
mill,2238.5,81.2,3.27,2.28,1
lathe,1807.0,76.61,1.4,5.27,0
press,171.2,85.3,5.34,2.2,1
mill,2469.3,86.77,5.01,,1
mill,155.2,66.69,1.55,4.59,0
drill,2574.7,96.83,,,1
lathe,2273.6,67.96,1.61,3.65,0
mill,2788.1,90.47,,2.12,1
press,670.1,61.67,2.12,4.0,0
lathe,2171.9,,5.1,2.81,1
drill,3583.6,64.51,1.27,4.3,0
lathe,179.5,55.88,1.82,3.9,0
lathe,2505.8,76.52,2.03,4.18,0
drill,958.6,78.59,3.79,2.21,1
lathe,2185.5,61.05,2.34,3.47,0
lathe,3432.3,68.62,2.37,3.46,0
mill,2476.7,62.48,2.07,3.48,0
mill,160.3,69.28,0.73,4.36,0
mill,3455.5,89.73,2.12,2.78,1
drill,1167.2,60.46,1.92,4.67,0
lathe,2622.8,64.85,1.78,4.41,0
lathe,3584.0,70.05,1.06,4.4,0
press,1648.6,68.67,2.47,4.92,0
drill,1299.4,62.17,1.52,4.38,0
mill,363.3,64.95,1.23,4.05,0
lathe,3072.4,65.83,1.28,3.69,0
lathe,2914.6,66.28,1.87,4.65,0
lathe,1364.0,62.36,2.43,3.25,0
drill,3785.0,,2.4,4.63,0
mill,2455.4,62.08,,4.42,0
lathe,3386.9,67.44,1.99,3.91,0
mill,1086.0,58.32,0.96,4.59,0
lathe,2686.9,64.28,0.49,3.54,0
lathe,97.8,83.71,4.81,3.13,1
drill,133.6,64.85,1.53,4.98,0
mill,3530.6,66.63,1.88,4.18,0
mill,1350.7,87.64,3.24,,1
lathe,686.9,61.31,1.93,4.78,0
lathe,769.6,67.29,1.56,5.14,0
lathe,3988.2,62.48,0.96,4.41,0
mill,639.0,61.8,1.79,4.37,0
lathe,1674.8,63.3,1.11,3.61,0
drill,78.3,82.8,3.81,2.65,1
drill,1453.1,69.6,1.38,4.84,0
mill,3736.8,68.1,2.78,4.36,0
mill,703.6,62.05,1.97,3.81,0
mill,1451.0,68.7,0.96,4.0,0
press,3376.5,68.63,2.34,3.88,0
lathe,486.6,83.8,1.68,2.58,1
lathe,2457.1,62.8,,4.22,0
lathe,2357.8,95.81,3.89,2.92,1
mill,946.1,68.05,1.77,3.88,0
lathe,3708.9,83.52,5.31,3.18,1
lathe,1249.1,,1.5,3.16,0
mill,2982.3,87.5,2.99,1.84,1
lathe,3933.0,70.14,2.7,3.62,0
lathe,897.3,63.82,2.08,3.75,0
drill,3423.3,68.15,2.02,3.75,0
drill,232.8,89.56,3.97,3.19,1
drill,2318.2,70.66,2.62,4.49,0
drill,2563.0,83.74,4.0,2.82,1
lathe,3665.4,,4.14,2.2,1
lathe,3259.3,55.26,2.44,3.53,0
lathe,1534.0,56.5,1.47,4.22,0
lathe,2568.0,59.57,1.81,3.64,0
mill,2447.8,79.56,4.66,,1
mill,646.7,,2.15,,0
lathe,1696.1,67.41,1.27,4.07,0
lathe,1129.5,73.91,1.64,3.84,0
mill,1674.3,65.29,0.97,3.88,0
lathe,771.0,,1.69,4.43,0
lathe,3889.9,63.53,2.27,,0
mill,3025.0,91.55,3.88,2.77,1
mill,1540.7,,5.95,2.11,1
drill,2172.0,71.5,1.23,3.9,0
lathe,1297.7,56.92,1.81,4.66,0
lathe,662.6,80.84,3.93,,1
lathe,3319.9,63.06,1.74,4.4,0
press,223.0,81.77,4.58,,1
lathe,2945.9,63.3,2.02,3.31,0
drill,1679.4,,2.09,3.47,0
lathe,961.3,68.58,,4.8,0
drill,3612.3,,1.71,4.01,0
mill,3931.6,74.12,2.12,3.52,0
mill,2196.6,66.48,0.87,4.36,0
lathe,1712.4,63.49,1.98,4.45,0
press,3624.0,93.43,5.47,2.8,1
mill,2504.7,64.6,1.28,3.12,0
lathe,2756.1,96.35,3.15,1.88,1
lathe,2741.9,,2.07,4.43,0
press,1660.5,61.22,2.25,4.85,0
lathe,732.1,71.77,1.81,4.37,0
drill,2275.9,62.38,2.06,4.48,0
lathe,1237.7,67.88,2.49,3.63,0
lathe,2922.3,68.46,1.07,4.06,0
mill,631.6,72.67,2.88,3.4,0
mill,3001.2,62.88,1.52,4.86,0
mill,1926.0,80.73,4.04,2.66,1
lathe,2137.9,62.24,1.63,4.22,0
lathe,3400.7,73.09,1.97,3.87,0
mill,1983.3,54.56,1.39,3.68,0
lathe,1402.6,57.19,1.61,4.45,0
lathe,64.4,71.27,1.91,4.32,0
lathe,1398.0,59.12,1.53,4.26,0
mill,3024.0,80.49,1.47,3.61,0
drill,1716.4,62.58,2.38,4.09,0
mill,3336.1,65.99,1.14,3.92,0
lathe,2856.3,67.38,1.16,4.35,0
mill,853.7,69.88,1.43,4.29,0
press,3583.5,64.71,1.98,3.45,0
press,3081.3,76.85,1.45,3.57,0
mill,3105.4,88.86,5.12,2.53,1
lathe,686.3,73.12,1.94,4.97,0
mill,3784.8,,3.81,1.91,1
drill,945.6,,4.59,3.47,1
drill,528.6,90.72,,2.42,1
lathe,975.0,60.61,0.92,3.36,0
lathe,1711.4,58.92,2.01,3.52,0
mill,734.7,71.63,2.81,3.34,0
mill,2030.2,63.46,2.5,3.62,0
lathe,1446.3,88.63,,3.34,1
lathe,2281.5,74.61,2.29,3.71,0
mill,1052.6,62.86,1.46,3.98,0
lathe,2752.2,56.52,,4.31,0
mill,2566.5,67.03,1.55,,0
press,2991.0,64.52,1.95,3.62,0
lathe,2036.1,64.51,,4.16,0
press,2686.3,93.25,,2.31,1
