f1,f2,f3,f4,f5
-0.1774,64.0024,3.3497,0.4926,-0.0668
0.7739,53.3412,3.702,1.7755,-0.0072
0.4442,32.1124,3.7163,0.5652,0.0358
-0.3672,45.8331,0.6511,3.8036,-0.0015
-0.9068,40.5025,0.2999,2.4477,0.0163
-0.8695,57.6563,2.0042,1.7392,-0.002
2.2654,39.2581,-3.3857,0.4607,-0.0369
-0.6023,23.5173,-2.1728,1.5089,0.0229
-0.3067,40.8618,3.6354,0.396,-0.0252
0.7236,44.8581,2.6494,0.2571,-0.032
-0.9689,64.3509,-3.2355,1.0873,-0.017
-0.8374,51.6185,0.5986,0.5702,-0.012
2.0841,56.8985,-4.2739,1.2899,0.046
-2.7828,54.7721,-2.6044,1.8409,0.031
-0.397,42.978,-0.8371,1.1606,-0.0295
1.7437,43.7804,-0.3689,0.52,0.037
-0.4102,37.1825,3.9999,1.1679,0.0363
-1.1214,54.3181,-4.133,0.7548,-0.0427
-0.1294,45.7295,2.6203,0.2978,-0.022
-0.8353,60.2563,-4.9458,0.2024,0.0633
0.0277,70.6964,-1.8001,2.4426,0.0305
-0.7,47.084,0.2607,2.0075,0.0521
-1.3585,74.009,3.9981,5.8037,0.1029
0.5193,58.94,-3.3746,3.1262,0.1586
-1.1878,41.3624,4.1918,0.5897,0.0514
1.8222,46.6909,3.0002,1.479,-0.0118
-0.9948,39.7049,4.2559,3.3232,0.0315
-0.4817,49.4195,1.6598,0.4326,0.0049
0.006,44.1588,0.1162,0.1007,0.0566
-0.2833,38.6603,1.3437,0.6746,-0.0221
-0.5066,65.9371,-0.7807,1.9487,0.0341
0.3125,45.5001,-1.1932,0.9606,-0.0974
0.9001,47.9548,4.0391,0.4647,-0.085
-1.562,41.4991,3.1677,0.104,-0.0543
0.5762,64.7125,-0.6427,4.0209,0.0145
0.2268,48.9682,1.967,0.1255,-0.0379
1.6522,54.1093,4.6719,0.2086,0.0241
